episode,total_reward
1, 3.714814814814845
2, 1.7617363344051595
3, 1.844983818770244
4, 10.282733812949676
5, -0.09072164948451733
6, -0.09999999999998122
7, 5.964846416382285
8, -0.09090909090906973
9, -0.03157894736840314
10, -0.02727272727271865
11, 10.958823529411804
12, 32.22129963898913
13, -0.06603773584904293
14, 0.05241635687733853
15, 4.9771704180064695
16, -0.047311827956968616
17, 5.964846416382295
18, 7.487360594795579
19, 5.081229773462823
20, 14.922304832713701
21, 6.567844522968237
22, -0.0510948905109363
23, 5.906802721088473
24, 1.0951219512195385
25, 13.693388429752103
26, 3.5198830409357096
27, 9.952631578947392
28, -0.07619047619045927
29, 1.598412698412726
30, 2.0147540983606795
31, 18.505263157894664
32, 3.915015015015054
33, 30.167796610169383
34, 13.811032028469729
35, 12.311371237458232
36, 5.735016835016875
37, -0.061092150170627635
38, 2.9857142857142924
39, 7.01851851851856
40, 5.84915254237292
41, -0.08461538461536677
42, -0.05774647887323092
43, -0.0371647509578443
44, -0.0371647509578443
45, -0.05714285714284828
46, -0.09126213592231225
47, -0.06603773584904649
48, 2.50544217687078
49, 5.622408026755892
50, 36.51904761904754
51, 4.773015873015911
52, 4.9771704180064695
53, 14.878073089701036
54, 1.9293159609120702
55, 5.791891891891932
56, 6.201038062283777
57, -0.05686274509802858
58, 7.3501845018450584
59, 7.4185185185185585
60, 5.2934426229508595
61, 7.487360594795579
62, 11.976923076923118
63, 5.1562913907285095
64, 6.885611510791406
65, 6.082130584192478
66, -0.0034482758620619502
67, 2.5518771331058177
68, -0.006993006992998846
69, -0.05974025974024255
70, 0.07318435754189795
71, 3.1857142857143095
72, -0.04345403899721287
73, 6.450184501845061
74, 0.011111111111133415
75, 3.8253731343283874
76, 7.3501845018450584
77, 3.572870662460589
78, 2.459322033898318
79, 2.551877133105823
80, 5.821602787456483
81, 2.9350877192982767
82, 8.46115702479343
83, 9.005923344947776
84, 6.141379310344867
85, 3.5627565982404925
86, 7.3501845018450584
87, 8.58503937007878
88, 8.66284584980241
89, 4.773015873015909
90, 3.2798761609907228
91, 1.9718954248366143
92, 5.4491525423729135
93, 4.522408026755876
94, 1.8032258064516178
95, 5.664846416382283
96, 7.182352941176509
97, 6.385611510791405
98, 5.630496453900738
99, 5.391891891891925
100, 1.1324159021406994
101, 5.081229773462823
102, 8.90000000000004
103, 6.261111111111152
104, 5.511295681063161
105, 6.885611510791405
106, 4.925641025641066
107, 5.906802721088473
108, 7.767924528301927
109, 4.773015873015911
110, 4.3798761609907455
111, 7.3501845018450584
112, 7.148175182481792
113, 6.757142857142897
114, 5.622408026755892
115, 6.082130584192479
116, 7.015942028985547
117, 5.791891891891932
118, 5.186644951140105
119, 5.491891891891926
120, 4.403875968992287
121, -0.006329113924033097
122, 7.6265917602996645
123, 5.081229773462823
124, 5.266666666666699
125, -0.06505576208177488
126, -0.05555555555554759
127, -0.010223642172517894
128, -0.09933993399339269
129, -0.05774647887323092
130, -0.09933993399339269
131, -0.07406143344709126
132, -0.006993006992998846
133, 7.418518518518557
134, 2.3680134680135008
135, 8.741269841269881
136, -0.036619718309839316
137, 44.952427184465975
138, 51.662962962962894
139, 70.20081300813018
140, 7.248623853211049
141, 5.735016835016868
142, 6.950541516245526
143, 5.456291390728516
144, 24.566666666666656
145, 15.019402985074642
146, -0.08749999999998903
147, 5.366666666666699
148, 8.966889632107062
149, -0.011036789297652144
150, -0.05548172757474412
151, -0.04705882352940291
152, -0.006993006992998846
153, -0.05420560747661907
154, 25.323841059602593
155, 6.382517482517523
156, 79.90521172638448
157, 64.8075907590759
158, 120.53513513513528
159, 1.5582278481012728
160, 14.262318840579692
161, 19.93448275862064
162, 51.3891891891891
163, 9.589655172413822
164, 7.767924528301927
165, -0.04703832752612744
166, 2.6931034482758927
167, -0.05548172757474412
168, -0.07088607594936147
169, 8.254838709677456
170, 5.622408026755892
171, -0.032862190812713105
172, -0.032862190812713105
173, 2.645704467353955
174, 4.051515151515185
175, 2.5986301369863143
176, 7.767924528301924
177, 4.623270440251613
178, 5.84915254237292
179, 1.021212121212134
180, 4.025000000000025
181, 5.950541516245513
182, 5.029032258064557
183, 7.148175182481792
184, -0.06923076923075233
185, -0.08245614035086946
186, -0.0659932659932585
187, 4.925641025641067
188, 5.622408026755892
189, 11.627272727272768
190, 11.127272727272768
191, -0.019653179190747688
192, -0.0885906040268385
193, -0.005755395683445047
194, -0.031541218637984175
195, 3.1348754448398757
196, 6.693594306049862
197, 4.37987616099075
198, 8.355252918287977
199, 5.3473684210526695
200, 6.201038062283777
201, 6.505633802816941
202, -0.09072164948453376
203, 2.2333333333333654
204, 3.9091254752851996
205, 1.6795527156549763
206, 11.456390977443649
207, -0.029889298892965516
208, 9.238983050847496
209, 5.94545454545458
210, 9.91818181818186
211, 5.133766233766272
212, 0.8047619047619305
213, 5.511295681063162
214, 3.5250000000000266
215, 18.097080291970766
216, -0.01098901098898894
217, -0.01098901098898894
218, 4.9771704180064695
219, 9.805923344947773
220, 6.50563380281694
221, 8.069329073482468
222, 10.101413427561877
223, 6.505633802816941
224, 14.323728813559308
225, 38.02280701754377
226, -0.006993006992998846
227, 32.97179487179484
228, 56.415658362989234
229, 6.630496453900726
230, -0.05517241379308513
231, 52.873063973063914
232, 102.09403973509957
233, 1.4786163522012865
234, 9.447945205479488
235, -0.0659932659932585
236, 83.27553516819609
237, 57.628522336769684
238, 39.37318611987374
239, 54.45714285714279
240, 46.475757575757505
241, 59.13411371237449
242, 48.00868167202561
243, 54.117391304347734
244, 121.81386138613904
